station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BG0070A	Ko1	BG	BULGARIA	AIS Kopitoto	2009-01-01		Background		rural	near city		23.243900	42.637200	1323	Sofia				no
BG0056A	Bs3	BG	BULGARIA	AIS Meden rudnik	1998-01-01		Background		suburban			27.389729	42.466946	28	Burgas				no
BG0055A	StZag1	BG	BULGARIA	AIS Stara Zagora	1997-01-01		Traffic		urban		Unknown	25.632236	42.424446	220	Stara Zagora				no
BG0072A	PV5	BG	BULGARIA	AMS Bania Starinna	2009-01-01		Traffic		urban		Wide street: L/H > 1.5	24.731000	42.145800	166	Plovdiv				no
BG0074A	Vn4	BG	BULGARIA	AMS Batak-Varna	2010-01-01		Background		urban			27.541692	43.125858	51	Varna				no
BG0058A	BG1	BG	BULGARIA	AMS Blagoevgrad	2006-01-01		Background		suburban			23.087782	42.014446	356	BLAGOEVGRAD				no
BG0067A	Db1	BG	BULGARIA	AMS Dobrich	2009-01-01		Background		urban			27.493590	43.341100	225	DOBRICH				no
BG0057A	GO1	BG	BULGARIA	AMS Gorna oriahovica	2006-01-01		Background		suburban			25.691952	43.125000	160	GORNA ORIAHOVICA				no
BG0051A	Pld2	BG	BULGARIA	AMS Kamenitza	1997-01-01		Background	urban	urban		Highway: average speed vehicles > 80 km/h	24.778345	42.147781	166	Plovdiv				no
BG0018A	Krj1	BG	BULGARIA	AMS Karjaly	1991-01-01		Background		urban		Highway: average speed vehicles > 80 km/h	25.373339	41.637779	240	Kardjaly				no
BG0066A	Lv1	BG	BULGARIA	AMS Lovech	2009-01-01		Background		urban			24.424980	43.081270	200	LOVECH				no
BG0040A	Sf2	BG	BULGARIA	AMS Nadejda-Sofia	1993-01-01		Background		suburban		Highway: average speed vehicles > 80 km/h	23.300280	42.732224	500	Sofia				no
BG0071A	Ns1	BG	BULGARIA	AMS Nesebar	2009-01-01		Background		urban			27.718330	42.659720	30	NESEBAR				no
BG0054A	Sf9	BG	BULGARIA	AMS Orlov most-Sofia	1992-06-30		Traffic	urban	urban		Wide street: L/H > 1.5	23.338058	42.690834	500	Sofia				no
BG0073A	Sf.p	BG	BULGARIA	AMS Pavlovo	2009-01-01		Traffic		urban		Wide street: L/H > 1.5	23.153900	42.395700	615	Sofia				no
BG0019A	Pl2	BG	BULGARIA	AMS Pleven	1991-01-01		Background		urban		Highway: average speed vehicles > 80 km/h	24.631681	43.411667	140	Pleven				no
BG0043A	Vr2	BG	BULGARIA	AMS Rail. Station-Vratza	1993-01-01		Background	urban	urban		Highway: average speed vehicles > 80 km/h	23.558619	43.213612	350	Vratza				no
BG0041A	DmGr3	BG	BULGARIA	AMS Rakovsky-Dimitrovgrad	1993-01-01		Background	urban	urban			25.600000	42.053886	103	Dimitrovgad				no
BG0038A	Sh1	BG	BULGARIA	AMS Shumen	1992-01-01		Background		urban		Highway: average speed vehicles > 80 km/h	26.930010	43.272221	212	Shumen				no
BG0069A	Sl1	BG	BULGARIA	AMS Sliven	2009-01-01		Traffic		urban		Wide street: L/H > 1.5	26.195800	42.400600	240	SLIVEN				no
